"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Checkout Flow","8","0","Form Validation Errors","0"
"0","","0","Catalog Inventory","6","0","Burger Menu Actions","0"
"0","","0","","15","0","","0"
"0","","0","Cart and Checkout Navigation","6","0","Cart Management","0"
"0","","0","Catalog Inventory","12","0","Catalog Sorting","0"
"0","","0","Cart and Checkout Navigation","6","0","Checkout Navigation","0"
"0","","0","Checkout Flow","3","0","Positive End-to-End Purchase","0"
